"","ID","Country","CID","startdate","enddate","status","progress","Duration","finished","recordeddate","responseid","distributionchannel","userlanguage","q_recaptchascore","q1","q108","q109","q_example1","q_example_2","example1payoff","series_1_question","series2_question","series3_question","followuplotteries_1","followuplotteries_2","followuplotteries_3","trust","farm_risks_1","farm_risks_2","farm_risks_3","farm_risks_4","farm_risks_5","risk_attitude_1","risk_attitude_2","risk_attitude_3","risk_attitude_4","gender","birth","birth_4_text","hhsize","hhsize_4_text","children","children_4_text","hh_income","wealth","education","q85","q85_8_text","q80","q80_8_text","q86_4","q100","q101_1","q90","q90_4_text","q99","q99_5_text","q92","q92_4_text","q93","q102","share_subsidies_1","q17","Age","NbChildren","EducSup","Trust","FarmSize","LandOwned","IndivOwner","Difficult","ChoiceRandom","ToomanyLot","Sex","IDfarm","pw","DateEnquete"
"11",11,"Austria","Austria11","2021-09-28 09:55:16","2021-09-28 10:32:28",0,100,  00:37:11,1,"2021-09-28 10:32:28","R_ehrdK3rQYtWsT61","anonymous","DE",0.899999976158142,1,1,4,3,6,4,0,11,4,3,2,1,4,3,2,2,2,2,5,4,4,4,2,4,1964,4,"4",4,"2",6,14,4,NA,300,NA,NA,100,1,47,1,"",2,"",1,"",1,13,66,"",57,2,1,0,3,1,1,3,2,1,"Females",NA,NA,NA
"12",12,"Austria","Austria12","2021-09-28 16:14:48","2021-09-28 16:22:56",0,100,  00:08:08,1,"2021-09-28 16:22:58","R_3PLis1fHeqCbEND","anonymous","DE",1,1,1,1,3,6,4,11,0,0,2,84,3,4,2,1,2,2,2,4,4,6,6,1,4,1985,4,"8",4,"4",9,14,7,NA,375,NA,NA,56,2,NA,1,"",3,"",2,"",1,13,56,"",36,4,1,0,3.75,0.56,0,2,4,3,"Males",NA,NA,NA
"13",13,"Austria","Austria13","2021-09-30 10:46:54","2021-09-30 10:50:28",0,100,  00:03:33,1,"2021-09-30 10:50:28","R_3nVh6l2N8uhWcka","anonymous","DE",1,1,5,4,3,6,4,3,6,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",12,16,8,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"Austria","Austria14","2021-09-30 10:47:18","2021-09-30 10:52:29",0,100,  00:05:10,1,"2021-09-30 10:52:31","R_3fs1oCS4wANWjRU","anonymous","DE",1,1,4,1,3,6,4,3,14,7,NA,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",12,16,8,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,1,1,NA,NA,NA,NA,3,3,NA,NA,NA,NA
"15",15,"Austria","Austria15","2021-09-30 10:54:49","2021-09-30 10:59:40",0,100,  00:04:50,1,"2021-09-30 10:59:40","R_eK967zP6FPG9OH7","anonymous","DE",1,1,1,1,3,6,NA,0,0,1,1,2,1,4,2,2,1,2,3,6,6,5,4,2,4,1981,4,"4",4,"2",5,12,5,NA,90,NA,NA,100,2,NA,11,"",4,"",2,"",5,15,38,"",40,2,1,0,0.9,1,0,1,2,1,"Females",NA,NA,NA
"16",16,"Austria","Austria16","2021-10-04 09:58:03","2021-10-04 10:12:00",0,100,  00:13:57,1,"2021-10-04 10:12:01","R_1q3XQabMc2c3Xew","anonymous","DE",1,1,1,1,3,6,4,0,0,1,1,84,1,4,2,2,1,2,3,6,6,5,4,2,4,1981,4,"5",4,"2",6,12,5,NA,90,NA,NA,50,2,NA,1,"",4,"",2,"",5,16,NA,"",40,2,1,0,0.9,0.5,0,1,4,1,"Females",NA,NA,NA
"17",17,"Austria","Austria17","2021-10-04 10:12:14","2021-10-04 10:24:59",0,100,  00:12:44,1,"2021-10-04 10:25:00","R_2SHyr9R6dCdUqps","anonymous","DE",1,1,1,1,3,6,4,8,0,1,1,1,1,4,1,1,1,2,1,6,6,5,5,2,4,1988,4,"4",4,"0",9,13,7,NA,400,NA,NA,76,2,NA,5,"",4,"",2,"",1,19,65,"",33,0,1,0,4,0.76,0,1,1,1,"Females",NA,NA,NA
"18",18,"Austria","Austria18","2021-10-04 10:15:16","2021-10-04 10:25:17",0,100,  00:10:00,1,"2021-10-04 10:25:17","R_2cuy2klW8annvos","anonymous","DE",1,1,5,4,3,6,4,5,7,7,2,2,1,4,1,1,2,2,1,5,6,6,7,1,4,1974,4,"3",4,"1",6,12,5,NA,102,NA,NA,80,2,NA,11,"",4,"",2,"",1,16,46,"",47,1,1,0,1.02,0.8,0,2,2,1,"Males",NA,NA,NA
"19",19,"Austria","Austria19","2021-10-04 10:26:43","2021-10-04 10:28:40",0,100,  00:01:57,1,"2021-10-04 10:28:41","R_eVDU260aPNSiDyF","anonymous","DE",1,1,4,1,3,6,NA,4,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",12,16,8,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"Austria","Austria20","2021-10-04 10:29:47","2021-10-04 10:34:14",0,100,  00:04:26,1,"2021-10-04 10:34:15","R_2t41rIU0kvcmqE4","anonymous","DE",1,1,1,1,3,6,4,6,0,1,1,2,2,NA,2,3,1,3,2,4,5,4,5,1,4,2001,4,"2",4,"0",6,13,5,NA,95,NA,NA,NA,2,NA,5,"",4,"",2,"",1,18,NA,"",20,0,1,NA,0.95,NA,0,1,2,2,"Males",NA,NA,NA
"21",21,"Austria","Austria21","2021-10-04 10:26:23","2021-10-04 10:38:57",0,100,  00:12:34,1,"2021-10-04 10:38:59","R_12nlDKrMbr1GnoV","anonymous","DE",1,1,1,1,3,6,4,0,0,0,84,84,3,NA,2,3,1,3,2,4,5,4,5,1,4,1955,4,"6",4,"2",6,12,2,NA,25,NA,NA,51,2,NA,1,"",1,"",2,"",5,14,0,"Einleitung zu lang",66,2,0,NA,0.25,0.51,0,4,4,3,"Males",NA,NA,NA
"22",22,"Austria","Austria22","2021-10-08 10:31:47","2021-10-08 10:44:02",0,100,  00:12:14,1,"2021-10-08 10:44:03","R_QlIu1hJhUxP85Fv","anonymous","DE",1,1,1,1,3,6,4,0,0,0,2,1,2,1,1,1,1,2,2,6,5,6,5,2,4,1993,4,"5",4,"1",6,13,3,NA,115,NA,NA,91,2,NA,1,"",4,"",1,"",5,16,NA,"",28,1,0,1,1.15,0.91,1,2,1,2,"Females",NA,NA,NA
"23",23,"Austria","Austria23","2021-12-04 17:30:56","2021-12-04 17:31:59",0,100,  00:01:02,1,"2021-12-04 17:31:59","R_1FsSukPK8owjyxE","anonymous","DE",1,1,1,1,3,6,NA,2,4,1,1,1,2,1,2,1,2,2,2,6,6,6,6,1,4,1985,4,"5",4,"0",8,13,5,NA,125,NA,NA,83,2,NA,1,"",4,"",2,"",5,19,32,"",36,0,1,1,1.25,0.83,0,1,1,2,"Males",NA,NA,NA
"24",24,"Austria","Austria24","2021-12-04 17:53:48","2021-12-04 17:54:43",0,100,  00:00:54,1,"2021-12-04 17:54:44","R_3IghPsDAoPut6YV","anonymous","DE",1,1,1,1,3,6,NA,5,0,2,2,2,1,4,1,1,3,2,2,5,5,6,6,2,4,1995,4,"4",4,"0",6,13,7,NA,60,NA,NA,82,2,NA,1,"",4,"",1,"",5,18,44,"",26,0,1,0,0.6,0.82,1,2,2,1,"Females",NA,NA,NA
"25",25,"Austria","Austria25","2021-12-04 17:56:44","2021-12-04 17:57:41",0,100,  00:00:56,1,"2021-12-04 17:57:42","R_d4ilF2Tccj3rO2R","anonymous","DE",1,1,1,1,3,6,NA,2,4,1,1,2,1,1,2,1,2,2,2,6,6,6,6,1,4,1985,4,"4",NA,"",8,13,5,NA,45,NA,NA,80,2,NA,1,"",4,"",2,"",5,18,NA,"",36,NA,1,1,0.45,0.8,0,1,2,1,"Males",NA,NA,NA
"26",26,"Austria","Austria26","2021-12-04 17:29:23","2021-12-04 17:59:21",0,100,  00:29:58,1,"2021-12-04 17:59:22","R_10JnyUXh2kKh53t","anonymous","DE",1,1,4,4,3,6,NA,0,11,4,84,1,2,1,3,2,2,2,3,5,6,6,6,1,4,1996,4,"6",4,"1",8,12,5,NA,25,NA,NA,0,2,NA,1,"",4,"",1,"",6,15,34,"",25,1,1,1,0.25,0,1,4,1,2,"Males",NA,NA,NA
"27",27,"Austria","Austria27","2021-12-04 18:02:23","2021-12-04 18:03:12",0,100,  00:00:49,1,"2021-12-04 18:03:13","R_2xW6ANlnlFMvOu7","anonymous","DE",1,1,1,4,3,6,NA,5,11,4,3,2,1,4,1,1,2,2,3,4,6,4,6,1,4,1970,4,"4",4,"0",6,13,7,NA,55,NA,NA,78,2,NA,1,"",4,"",1,"",5,15,49,"",51,0,1,0,0.55,0.78,1,3,2,1,"Males",NA,NA,NA
"28",28,"Austria","Austria28","2021-12-04 18:03:48","2021-12-04 18:04:45",0,100,  00:00:57,1,"2021-12-04 18:04:46","R_2B2IcXEoLPGXoUn","anonymous","DE",1,1,5,4,3,6,4,4,10,3,1,1,2,4,1,1,2,3,1,6,6,5,6,2,4,1974,4,"7",4,"1",6,13,7,NA,16,NA,NA,100,2,NA,1,"",4,"",2,"",5,15,NA,"",47,1,1,0,0.16,1,0,1,1,2,"Females",NA,NA,NA
"29",29,"Austria","Austria29","2021-12-04 18:05:21","2021-12-04 18:06:09",0,100,  00:00:48,1,"2021-12-04 18:06:09","R_1LAoRSK7xVkqmoN","anonymous","DE",1,1,1,1,3,6,NA,7,3,2,2,2,3,4,1,2,3,2,3,5,6,5,6,1,4,1980,4,"7",4,"2",6,12,7,NA,15,NA,NA,100,2,NA,11,"",4,"",1,"",5,15,NA,"",41,2,1,0,0.15,1,1,2,2,3,"Males",NA,NA,NA
"30",30,"Austria","Austria30","2021-12-04 18:06:33","2021-12-04 18:07:21",0,100,  00:00:48,1,"2021-12-04 18:07:22","R_3KASGbvVfefGXcG","anonymous","DE",1,1,1,1,3,6,NA,4,0,2,2,2,3,4,1,1,2,1,2,5,6,5,6,1,4,1978,4,"4",4,"1",5,13,7,NA,13,NA,NA,100,2,NA,1,"",4,"",1,"",5,15,NA,"",43,1,1,0,0.13,1,1,2,2,3,"Males",NA,NA,NA
"31",31,"Austria","Austria31","2021-12-04 18:07:42","2021-12-04 18:08:32",0,100,  00:00:50,1,"2021-12-04 18:08:33","R_Wqx8Ed2ANcKo6yZ","anonymous","DE",1,1,5,4,3,6,4,7,6,2,1,2,2,1,1,2,1,2,3,6,6,6,5,2,4,1996,4,"6",4,"2",6,13,5,NA,27,NA,NA,77,2,NA,1,"",1,"",1,"",5,15,31,"",25,2,1,1,0.27,0.77,1,1,2,2,"Females",NA,NA,NA
"32",32,"Austria","Austria32","2021-12-04 18:10:29","2021-12-04 18:11:19",0,100,  00:00:49,1,"2021-12-04 18:11:19","R_2AWmKE2sOLOv0kI","anonymous","DE",1,1,1,1,3,6,NA,11,8,0,84,84,3,4,2,2,3,3,3,6,5,5,4,1,4,1993,4,"7",4,"2",6,13,4,NA,28,NA,NA,100,2,NA,1,"",4,"",1,"",5,15,36,"",28,2,1,0,0.28,1,1,4,4,3,"Males",NA,NA,NA
"33",33,"Austria","Austria33","2021-12-04 18:13:03","2021-12-04 18:13:50",0,100,  00:00:46,1,"2021-12-04 18:13:51","R_231UJOTuaAeqOeJ","anonymous","DE",1,1,1,1,3,6,NA,5,2,1,84,2,3,1,3,1,3,2,3,6,6,6,6,2,4,1989,4,"4",4,"1",5,12,5,NA,13,NA,NA,100,2,NA,11,"",4,"",1,"",5,15,45,"",32,1,1,1,0.13,1,1,4,2,3,"Females",NA,NA,NA
"34",34,"Austria","Austria34","2021-12-04 18:14:09","2021-12-04 18:14:55",0,100,  00:00:46,1,"2021-12-04 18:14:57","R_3DkbaOFntDTgt0B","anonymous","DE",1,1,4,1,3,6,NA,5,2,1,2,1,3,1,3,3,2,3,3,6,6,6,6,2,4,1950,4,"1",4,"0",1,9,1,NA,15,NA,NA,100,2,NA,1,"",4,"",1,"",7,15,32,"",71,0,0,1,0.15,1,1,2,1,3,"Females",NA,NA,NA
"35",35,"Austria","Austria35","2021-12-04 18:15:44","2021-12-04 18:17:03",0,100,  00:01:19,1,"2021-12-04 18:17:04","R_3P6uWWySnpUa8AI","anonymous","DE",1,1,1,1,3,6,4,2,2,2,1,1,1,1,4,4,4,NA,NA,7,7,6,6,2,4,1976,NA,"",NA,"",12,16,3,NA,75,NA,NA,63,2,NA,1,"",4,"",1,"",6,18,NA,"",45,NA,0,1,0.75,0.63,1,1,1,1,"Females",NA,NA,NA
"36",36,"Austria","Austria36","2021-12-04 18:18:08","2021-12-04 18:18:57",0,100,  00:00:49,1,"2021-12-04 18:18:57","R_2TMGVw5DcCE98qd","anonymous","DE",1,1,1,4,3,6,4,0,11,4,1,2,1,1,3,2,2,2,2,5,4,6,6,2,4,1996,4,"6",4,"2",8,13,7,NA,150,NA,NA,61,2,NA,1,"",4,"",2,"",1,18,32,"",25,2,1,1,1.5,0.61,0,1,2,1,"Females",NA,NA,NA
"37",37,"Austria","Austria37","2021-12-04 18:19:42","2021-12-04 18:20:33",0,100,  00:00:51,1,"2021-12-04 18:20:34","R_3n779xxgVvFTF5B","anonymous","DE",1,1,1,1,3,6,4,1,0,4,1,1,1,1,2,1,2,2,2,6,6,6,6,2,4,1987,4,"4",NA,"",8,12,7,NA,125,NA,NA,85,2,NA,1,"",4,"",2,"",1,19,32,"",34,NA,1,1,1.25,0.85,0,1,1,1,"Females",NA,NA,NA
"38",38,"Austria","Austria38","2021-12-04 18:22:05","2021-12-04 18:22:55",0,100,  00:00:49,1,"2021-12-04 18:22:55","R_1lz1yazLzFwILcl","anonymous","DE",1,1,4,1,3,6,4,7,7,4,84,2,3,1,2,1,2,2,1,4,4,4,6,2,4,1953,4,"2",4,"0",1,12,3,NA,31,NA,NA,100,2,NA,1,"",4,"",1,"",6,15,28,"",68,0,0,1,0.31,1,1,4,2,3,"Females",NA,NA,NA
"39",39,"Austria","Austria39","2021-12-04 18:24:44","2021-12-04 18:25:33",0,100,  00:00:48,1,"2021-12-04 18:25:33","R_33sEA6RhRHUTAUo","anonymous","DE",1,1,5,4,3,6,4,0,5,2,2,1,1,1,1,1,1,1,2,5,5,4,6,2,4,1964,4,"5",4,"2",6,9,1,NA,17,NA,NA,100,2,NA,11,"",4,"",2,"",1,NA,NA,"",57,2,0,1,0.17,1,0,2,1,1,"Females",NA,NA,NA
"40",40,"Austria","Austria40","2021-12-04 18:26:33","2021-12-04 18:27:22",0,100,  00:00:49,1,"2021-12-04 18:27:24","R_SIaoRc2HhlHcx69","anonymous","DE",1,1,1,1,3,6,4,2,4,1,1,1,1,4,2,1,2,2,2,6,6,6,6,2,4,1985,4,"4",NA,"",6,13,3,NA,43,NA,NA,100,2,NA,1,"",1,"",1,"",1,NA,NA,"",36,NA,0,0,0.43,1,1,1,1,1,"Females",NA,NA,NA
"41",41,"Austria","Austria41","2021-12-04 18:27:57","2021-12-04 18:28:43",0,100,  00:00:45,1,"2021-12-04 18:28:43","R_3nckTt993Y5R7us","anonymous","DE",1,1,1,1,3,6,4,7,4,2,3,2,2,4,1,2,2,1,2,5,6,4,6,1,4,1972,4,"5",4,"2",5,9,2,NA,14,NA,NA,100,2,NA,11,"",1,"",1,"",5,15,NA,"",49,2,0,0,0.14,1,1,3,2,2,"Males",NA,NA,NA
"42",42,"Austria","Austria42","2021-12-04 18:29:01","2021-12-04 18:29:47",0,100,  00:00:46,1,"2021-12-04 18:29:47","R_30bK2RY5mXVPZXn","anonymous","DE",1,1,1,1,3,6,4,10,4,5,1,2,1,4,1,1,2,3,3,4,6,4,6,1,4,1970,4,"4",4,"0",5,1,4,NA,9,NA,NA,100,2,NA,5,"",1,"",1,"",5,14,NA,"",51,0,1,0,0.09,1,1,1,2,1,"Males",NA,NA,NA
"43",43,"Austria","Austria43","2021-12-04 18:35:28","2021-12-04 18:36:31",0,100,  00:01:02,1,"2021-12-04 18:36:31","R_3p08MPQzeY2TrT5","anonymous","DE",1,1,1,4,3,6,4,11,0,0,NA,3,84,4,2,1,2,2,2,5,5,6,6,1,4,1983,4,"6",4,"3",9,12,8,NA,380,NA,NA,69,2,NA,1,"",4,"",1,"",8,5,26,"",38,3,1,0,3.8,0.69,1,NA,3,4,"Males",NA,NA,NA
"44",44,"Austria","Austria44","2021-12-04 18:36:52","2021-12-04 18:39:18",0,100,  00:02:25,1,"2021-12-04 18:39:18","R_1QnqxPFBz8EQQ1X","anonymous","DE",1,1,1,4,3,6,4,11,3,7,84,2,2,4,1,1,2,3,3,6,5,6,4,2,4,1986,4,"7",4,"1",6,13,7,NA,17,NA,NA,100,2,NA,11,"",1,"",2,"",5,16,46,"",35,1,1,0,0.17,1,0,4,2,2,"Females",NA,NA,NA
"45",45,"Austria","Austria45","2021-12-04 17:52:04","2021-12-06 10:35:35",0,100,  40:43:30,1,"2021-12-06 10:35:36","R_3fjhscSINMSQfqa","anonymous","DE",1,1,1,1,3,6,4,12,0,5,84,2,84,4,2,2,2,3,3,5,6,6,6,2,4,1997,4,"4",4,"1",9,14,7,NA,250,NA,NA,80,1,40,11,"",2,"",2,"",5,5,36,"",24,1,1,0,2.5,0.8,0,4,2,4,"Females",NA,NA,NA
"46",46,"Austria","Austria46","2021-12-03 11:20:37","2021-12-06 10:38:33",0,100,  71:17:55,1,"2021-12-06 10:38:33","R_UQteuoUtKM7oLkJ","anonymous","DE",1,1,1,1,3,6,4,3,0,0,84,2,2,4,1,2,2,2,3,5,5,6,6,2,4,1968,4,"7",4,"1",9,13,3,NA,195,NA,NA,82,1,65,1,"",2,"",2,"",5,5,39,"",53,1,0,0,1.95,0.82,0,4,2,2,"Females",NA,NA,NA
"47",47,"Austria","Austria47","2021-12-06 10:38:51","2021-12-06 10:50:06",0,100,  00:11:15,1,"2021-12-06 10:50:08","R_1doVuZkG3qeSfLH","anonymous","DE",1,1,1,4,3,6,4,6,11,4,1,2,2,1,1,1,1,1,2,5,5,6,6,2,4,1976,4,"5",4,"2",8,13,5,NA,16,NA,NA,100,2,NA,1,"",4,"",1,"",1,16,42,"",45,2,1,1,0.16,1,1,1,2,2,"Females",NA,NA,NA
"48",48,"Austria","Austria48","2021-12-06 10:38:43","2021-12-06 10:52:11",0,100,  00:13:27,1,"2021-12-06 10:52:11","R_3iRqpT3duoWWBes","anonymous","DE",1,1,1,4,3,6,4,0,5,2,2,1,1,1,1,1,3,2,3,4,6,6,6,2,4,1964,4,"5",4,"1",6,13,3,NA,17,NA,NA,87,2,NA,1,"",4,"",1,"",1,16,44,"",57,1,0,1,0.17,0.87,1,2,1,1,"Females",NA,NA,NA
"49",49,"Austria","Austria49","2021-12-06 10:52:19","2021-12-06 11:03:29",0,100,  00:11:09,1,"2021-12-06 11:03:30","R_2rCnAJvoxEP8Zpd","anonymous","DE",0.899999976158142,1,5,4,3,6,NA,5,6,2,2,1,1,4,1,1,2,3,2,6,6,5,5,1,4,1986,4,"3",4,"0",8,13,7,NA,11,NA,NA,100,2,NA,1,"",1,"",1,"",1,15,37,"",35,0,1,0,0.11,1,1,2,1,1,"Males",NA,NA,NA
"50",50,"Austria","Austria50","2021-12-06 10:52:59","2021-12-06 11:05:13",0,100,  00:12:13,1,"2021-12-06 11:05:13","R_295PC0z8WQs0KVX","anonymous","DE",1,1,5,4,3,6,4,0,0,7,2,2,1,1,1,1,1,3,3,6,5,6,6,2,4,1990,4,"5",4,"1",8,14,7,NA,170,NA,NA,94,1,49,1,"",4,"",1,"",1,5,42,"",31,1,1,1,1.7,0.94,1,2,2,1,"Females",NA,NA,NA
"51",51,"Austria","Austria51","2021-12-06 11:06:34","2021-12-06 11:14:48",0,100,  00:08:14,1,"2021-12-06 11:14:50","R_2vbMbqKXzsYq2re","anonymous","DE",1,1,5,4,3,6,4,5,6,2,1,1,2,4,2,1,2,2,1,6,7,6,7,1,4,1963,4,"3",4,"0",6,12,3,NA,3.5,NA,NA,100,2,NA,1,"",4,"",1,"",1,14,0,"",58,0,0,0,0.035,1,1,1,1,2,"Males",NA,NA,NA
"52",52,"Austria","Austria52","2021-12-08 10:28:53","2021-12-08 10:40:44",0,100,  00:11:50,1,"2021-12-08 10:40:44","R_2sKGiN9lRWRG8IF","anonymous","DE",1,1,1,1,3,6,4,7,9,4,84,84,85,4,2,1,1,2,2,6,5,6,5,1,4,1970,4,"4",4,"2",6,12,7,NA,9,NA,NA,100,2,NA,5,"",4,"",1,"",1,15,32,"",51,2,1,0,0.09,1,1,4,4,5,"Males",NA,NA,NA
"53",53,"Austria","Austria53","2021-12-08 10:28:07","2021-12-08 10:41:06",0,100,  00:12:58,1,"2021-12-08 10:41:06","R_6nw6BvgUedNZ7hL","anonymous","DE",1,1,1,1,3,6,4,12,12,7,84,84,84,4,2,3,2,3,3,6,6,6,5,1,4,1983,4,"5",4,"3",6,12,7,NA,17,NA,NA,100,2,NA,1,"",4,"",1,"",1,15,44,"",38,3,1,0,0.17,1,1,4,4,4,"Males",NA,NA,NA
"54",54,"Austria","Austria54","2021-12-08 10:40:55","2021-12-08 10:51:09",0,100,  00:10:13,1,"2021-12-08 10:51:11","R_3Jt2NlWfibuDM8u","anonymous","DE",1,1,5,4,3,6,4,12,10,2,2,3,85,4,1,1,2,4,1,1,6,1,5,1,4,1981,4,"4",4,"2",8,14,7,NA,25,NA,NA,100,2,NA,1,"",1,"",1,"",8,15,47,"",40,2,1,0,0.25,1,1,2,3,5,"Males",NA,NA,NA
